days_to_event,mean_rtv,median_rtv,std_rtv,event_count,mean_rtv_interp,mean_rtv_smooth
-60,,,,0,,
-59,,,,0,,-15097.10843405517
-58,-28418.501776260873,0.3311826865562649,3550846.722493176,17197,-28418.501776260873,-9612.061509164214
-57,-1775.7150918494674,0.333287966643087,374882.36417945416,77333,-1775.7150918494674,-6000.952790885378
-56,1358.0323406176994,0.32952693144001005,6587251.189339618,204851,1358.0323406176994,-4800.328184478094
-55,4832.373363951128,0.37251001130026684,2139784.769084008,214253,4832.373363951128,883.6548013680583
-54,2.170241151040561,0.3940091693813909,483.96454351768335,143823,2.170241151040561,1239.0845185200437
-53,1.41315296988892,0.39575406005870506,183.66876106302436,103365,1.41315296988892,965.9465520181523
-52,1.4334939104586901,0.391719413156907,112.03997947583993,114637,1.4334939104586901,-1.3741732704538152
-51,-7.6574918917576165,0.39981018814493363,3619.1260644827203,141502,-7.6574918917576165,-2.0362816476074923
-50,-4.2302624919018115,0.3998234327228274,2262.746018096161,194736,-4.2302624919018115,-1.9487417127971163
-49,-1.1403007347278253,0.39947669472050057,1560.4468260544984,230566,-1.1403007347278253,-1.8335583725114595
-48,1.8508526439408002,0.39697248880325603,112.78874914547866,215058,1.8508526439408002,0.027769752886921274
-47,2.009410611886974,0.39569201585671887,239.21404855231003,143826,2.009410611886974,1.083653706555406
-46,1.6491487352342877,0.3925106039058389,433.2756730219109,103860,1.6491487352342877,0.3541545933695652
-45,1.049157276440612,0.17935721250006528,117.68006098662264,118826,1.049157276440612,0.44393901279235326
-44,-4.78779630065703,0.3888253955523645,2162.3256304919796,144256,-4.78779630065703,1.6758419994542386
-43,2.2997747410547404,0.390274021821371,305.90086603929524,196568,2.2997747410547404,241323561389.57892
-42,8.168925545196402,0.39635648977496196,3612.6298176136506,229165,8.168925545196402,12801084973868.146
-41,1206617806941.1646,0.3936960589540954,556004719697325.8,212333,1206617806941.1646,12303218107434.938
-40,62798807062393.89,0.39727784994942456,2.445535800603663e16,142792,62798807062393.89,12733243416355.031
-39,-2489334332170.8325,0.39733622522429857,1785755175568278.8,102921,-2489334332170.8325,25471739852197.254
-38,2150126544602.767,0.39327071003094743,742207986857256.8,119158,2150126544602.767,34649805823846.55
-37,63692482179219.28,0.3978232761191012,2.42375629775288e16,144811,63692482179219.28,22438961859749.855
-36,47096947665187.664,0.3960659399211727,2.0842088909614824e16,195838,47096947665187.664,23179254049602.746
-35,1744587241910.4036,0.3973781501662455,613654756966996.2,229464,1744587241910.4036,23110222905707.504
-34,1212126617093.6218,0.3916963034305996,557272493320401.0,211368,1212126617093.6218,11148473660048.713
-33,1804970825126.5447,0.3968289231496244,680030992671897.4,141944,1804970825126.5447,33020242152316.96
-32,3883735950925.332,0.37200884832078474,915591210840404.5,103076,3883735950925.332,32870852847870.957
-31,156455790126528.94,0.35706553438751626,5.351543200964684e16,118825,156455790126528.94,33022816304330.0
-30,997640719680.374,0.3991261700384209,379176977441848.9,144456,997640719680.374,32036341194385.96
-29,1971943899388.8298,0.39977860382856895,1016572233543801.6,196377,1971943899388.8298,30171593491240.664
-28,-3127404724593.6323,0.40091071607191114,2565216164776394.5,230407,-3127404724593.6323,-1119564534064.6687
-27,-5440002564801.165,0.40254691891419414,2504375360788390.5,211934,-5440002564801.165,-1319092678000.393
-26,2.281342940143499,0.4058535338753984,144.96334106688067,142057,2.281342940143499,-1713481457877.7095
-25,1.752908538539114,0.39999136018661186,129.51874697921872,102751,1.752908538539114,-1088000512957.6217
-24,2.2467124238731326,0.39956559213658877,119.85707540139484,118987,2.2467124238731326,3.3713738401440394
-23,6.80707856885413,0.4022855318157001,1571.016917170582,144294,6.80707856885413,3.475752023782248
-22,3.800228575720199,0.5697069448621133,484.6097264052386,197000,3.800228575720199,-2153001437184.1301
-21,2.8032338583345418,0.4523725482574298,155.24334003717274,231653,2.8032338583345418,-2153001437139.6218
-20,-10765007185936.275,0.41031673679663594,4982210008001651.0,214198,-10765007185936.275,-2153001437078.6255
-19,224.7874199495649,0.40663744625030596,84851.13855317293,143912,224.7874199495649,-2153001436428.6206
-18,311.7897806747526,0.40020942265989473,99247.7343136573,104687,311.7897806747526,-2153001436427.9517
-17,3253.823043329877,0.398960620599384,1134980.45041587,121735,3253.823043329877,783.7027104929209
-16,6.149009016805546,0.40018316447403224,1508.475878992189,147256,6.149009016805546,1993705240320.47
-15,121.99597433960503,0.4011491461456448,53668.72838161331,200200,121.99597433960503,4149078401277.9
-14,9968526197908.623,0.40367402172422756,4274001291146078.0,234525,9968526197908.623,4545693868860.186
-13,10776865805098.94,0.40271067935661875,4443911368113746.0,216934,10776865805098.94,5091445194089.2295
-12,1983077341165.2532,0.4042926449091021,756031168657810.1,145345,1983077341165.2532,5562949162904.787
-11,2728756626151.366,0.4000080381926131,886854299637441.8,105627,2728756626151.366,3179477425710.075
-10,2357519844199.783,0.39892670659327817,824323256664801.0,122260,2357519844199.783,737582987954.8347
-9,-1948832488064.9373,0.40231494515190447,749474963618169.0,147899,-1948832488064.9373,585378646930.393
-8,-1432606383677.2617,0.45399841484481956,642589041958703.0,201193,-1432606383677.2617,39627321701.726036
-7,1222055636043.0442,0.4073172366115288,593492675318616.6,235857,1222055636043.0442,-431876647137.94226
-6,8.031560208590047,0.4038912968959111,2393.6822287786226,218474,8.031560208590047,172279430508.0517
-5,1.4418064196595408,0.4013298386251467,351.28831695543556,146438,1.4418064196595408,643745465743.361
-4,1071947900165.0325,0.4005545779559835,350093983025129.6,106665,1071947900165.0325,399334338535.17786
-3,924723792499.2842,0.4018982841947029,325165023002657.3,123647,924723792499.2842,399334338534.01794
-2,2.1292530081992074,0.4097701978634886,139.93266961971787,149012,2.1292530081992074,2327337021879.279
-1,2.2317529248388257,0.7727736551920701,126.20106253793405,202545,2.2317529248388257,12984772673.76914
0,9640013416727.746,0.8132730162097785,4714695912323859.0,239195,9640013416727.746,50198014957745.86
1,-10499813345862.516,0.4188108435258048,4920459450207761.0,219608,-10499813345862.516,119160383919985.47
2,251849874717859.75,0.4025847943478966,9.639305144994806e16,146490,251849874717859.75,127353234617548.45
3,344811844811200.2,0.39597828710726424,1.127887924823733e17,106996,344811844811200.2,125425231934203.17
4,40964253487817.1,0.39138193223657125,1.4488089938715408e16,125087,40964253487817.1,127525194603375.75
5,1.3687897004213965,0.39824939756588545,92.07111996493717,150041,1.3687897004213965,77155219659803.77
6,0.42567194323580254,0.39261694334902464,202.39663997698827,202914,0.42567194323580254,8192850697569.25
7,-0.25282592731260367,0.21428991732322525,487.63616587119134,237001,-0.25282592731260367,-45231625859.96827
8,27.62249385148078,0.34073215600537093,12955.706391232136,219589,27.62249385148078,-45231625860.04042
9,-226158129328.98978,0.3977382503515203,62792311596443.24,146605,-226158129328.98978,-3740729749479.419
10,1.008008610821486,0.3971608108299975,238.54631984614676,106302,1.008008610821486,-6828919244384.409
11,-18477490618096.465,0.39413036598401213,6527341922218644.0,124792,-18477490618096.465,-9128183921265.207
12,-15440947474525.203,0.4014301383560849,5966942331695194.0,149333,-15440947474525.203,-11058816159916.807
13,-11496323384376.371,0.4025306583859724,5140660704792053.0,201199,-11496323384376.371,-11058816159913.266
14,-9879319322586.986,0.39973669779073806,4772856523697580.0,233401,-9879319322586.986,-7385410902103.986
15,18.713411972155324,0.40021014501104246,13768.761207721993,217671,18.713411972155324,-8687756188682.386
16,-110464329050.06816,0.40049081031777733,42057615979680.83,144959,-110464329050.06816,-6860057193806.097
17,-21952673907417.2,0.4002791344010354,7114732578458069.0,105037,-21952673907417.2,-4884193329288.252
18,-2357828409994.927,0.40008721181968193,824377200991582.0,122244,-2357828409994.927,-3852123926531.322
19,2.239489372334592,0.3981215148251911,234.63239062878645,147246,2.239489372334592,-14972082116696.36
20,5160347013803.364,0.4007799015625272,2299656987648718.5,198595,5160347013803.364,-10581547335212.254
21,-55710255279875.25,0.40972509992178846,2.8930657725488108e16,229944,-55710255279875.25,-10109981653210.084
22,3.3247668058611866,0.623634307174039,1356.8878414832072,216427,3.3247668058611866,-10109981653209.787
23,15.92088079765317,0.7714563426853653,4617.954617641611,144781,15.92088079765317,-9418202890374.61
24,3.724530443724237,0.4571888223630626,126.78168450846104,104544,3.724530443724237,1723848165601.0286
25,8619240827979.255,0.40286032696916857,2972063720561812.0,118899,8619240827979.255,1723848163626.3901
26,2.939501908872213,0.4085113647451506,230.38831902810938,144565,2.939501908872213,1723848163621.6543
27,-9869.866237254533,0.62341612032325,4374685.061930383,196387,-9869.866237254533,1723848163621.41
28,-7.7589656926347175,0.6510172037447562,5337.0244521177165,229557,-7.7589656926347175,-1973.6036181078325
29,2.502459391065018,0.7072482572766949,739.2905246092918,215347,2.502459391065018,-553730132406.3356
30,4.186987585837644,0.6940080163244831,357.83923364323243,143751,4.186987585837644,-553730130431.7523
31,-2768650652160.72,0.40209811255291955,893313617341948.9,104105,-2768650652160.72,-553730130429.2085
32,3.0495916474334774,0.40936001100527447,134.43306572211856,117693,3.0495916474334774,-553730130429.0138
33,4.9603302228780475,0.5399174185763742,710.7114299199889,144186,4.9603302228780475,-553730130429.4692
34,3.4763942294917904,0.6450410183166693,179.45555487825894,197141,3.4763942294917904,2138792612238.3586
35,1.9094510408716168,0.5781739760148485,628.6738376899891,231070,1.9094510408716168,2138792612238.4429
36,10693963061178.42,0.6720193205113554,4965742639867763.0,215621,10693963061178.42,2138792612238.229
37,3.4692540594214045,0.40655160907969523,153.66815198057222,144292,3.4692540594214045,2138792612238.263
38,3.890748190238645,0.4003194330835348,135.8124344659658,104769,3.890748190238645,2138792612238.6653
39,3.6449870769089197,0.40184370714962847,125.25979365376364,119199,3.6449870769089197,3.7143506837417646
40,3.9228132980181285,0.5074086467549881,123.35776855269312,144857,3.9228132980181285,3.6251531716856356
41,3.665503418708823,0.5149280170153259,108.75034295479307,197021,3.665503418708823,3.44047064910943
42,3.0232664991407607,0.4084458782023079,115.56783019910714,231498,3.0232664991407607,3.2526906300294507
43,2.967335577357619,0.4009344880602772,124.32288552842338,215508,2.967335577357619,2.640559442546839
44,2.7060869815090185,0.400287582753482,154.65349615235505,144359,2.7060869815090185,756773098.7051243
45,0.8621573606050696,0.3943403439379882,532.294246232993,104935,0.8621573606050696,756773097.4588095
46,3783865483.9883275,0.3969610258729119,1317105909519.877,121163,3783865483.9883275,-257911824092.31454
47,-3.208307341309906,0.40001466490737536,2163.493125383917,146185,-3.208307341309906,-257911824092.61182
48,-1293342985945.8994,0.3969426720769631,575639343364844.1,198095,-1293342985945.8994,-257911824092.65616
49,1.2197213427187317,0.3986269014515661,235.96977073827233,230796,1.2197213427187317,-258668597189.77393
50,0.6406306632418708,0.39813367422341217,850.9776585057679,211654,0.6406306632418708,-749938798048.7986
51,-1.600759802321055,0.3994999626659137,1233.7832609992688,142785,-1.600759802321055,-491270200858.4998
52,-2456351004298.332,0.39895355148366585,793302505804458.4,104303,-2456351004298.332,-491270200859.6332
53,5.594804760153202,0.3985717844391196,1293.2496271299062,121759,5.594804760153202,-467856467361.7593
54,-4.447318947816725,0.40011315939939407,2512.938365617096,145828,-4.447318947816725,-467856467360.9678
55,117068667490.01018,0.400440039282634,51955939846125.08,196965,117068667490.01018,2205207148436.3174
56,2.3568913782802485,0.4004502171770139,120.45320004209097,228692,2.3568913782802485,2205207148435.659
57,10908967074688.092,0.39965927303987325,5024214209845418.0,210634,10908967074688.092,2205207148437.464
58,2.3067896952471516,0.39960941299262775,192.98949434662524,141648,2.3067896952471516,2181793414939.8372
59,4.576982531501474,0.3966536728432558,3885.1583942276857,103519,4.576982531501474,2727241768674.207
60,1.8750415601741977,0.39788177316835305,132.52434149749857,119730,1.8750415601741977,2.912109375
