time_period,sharpe_ratio,mean_return,std_dev,count
2000-Q1,0.1948972509975567,0.014604017492024784,0.2897156580584112,4033
2000-Q2,-0.2724424374125232,-0.016989587583824284,0.20080214451125714,4124
2000-Q3,0.056487252373799104,0.003282190192391405,0.21022444520542605,4135
2000-Q4,-0.678924424173157,-0.061745318593720296,0.22906679937616936,3659
2001-Q1,-0.7229995446195832,-0.06329629452680136,0.21870346820225517,3639
2001-Q2,2.049192542062217,0.08361620792855519,0.24067157433461706,3605
2001-Q3,-0.3946934104517188,-0.02145905590508352,0.1707012683974095,2966
2001-Q4,2.0287758190301384,0.07763833855525828,0.2173774100310512,3327
2002-Q1,0.1732086488431811,0.007804013239784097,0.16737380206419644,3199
2002-Q2,-0.5921808912371697,-0.04151214873941772,0.1968919735604647,3295
2002-Q3,0.0648351164338204,0.003547586100407407,0.19827317100906003,3460
2002-Q4,1.9600712857966873,0.08513481284274298,0.2586524847022898,3037
2003-Q1,-0.043231982122811485,-0.002172690178672733,0.1761621778575616,3034
2003-Q2,3.481493469268232,0.11628050199081709,0.24266985503737587,3388
2003-Q3,1.6388360818030785,0.05314571768837371,0.15818983295455194,3250
2003-Q4,0.9671939021301638,0.03679925251556849,0.16798156958173507,3005
2004-Q1,-0.026165930448109685,-0.0010110596785877254,0.1363580391517905,3022
2004-Q2,-0.8660206884547118,-0.038817361452403096,0.12776817508505856,2733
2004-Q3,0.21334954929745087,0.00776714080210129,0.1352118409240831,3241
2004-Q4,2.613822601796799,0.07363740741053236,0.1560624285956488,3074
2005-Q1,-0.29916935459147037,-0.012645483320897932,0.13951147220567522,3059
2005-Q2,1.1218285551881653,0.03417316125105955,0.13237420685747264,3185
2005-Q3,-0.23543701857099514,-0.008310760623421537,0.11943416809758885,3231
2005-Q4,1.4116869492652335,0.040865884042624125,0.13099883672496035,2927
2006-Q1,0.6273810811328923,0.019267087697640635,0.12206172791353619,3032
2006-Q2,-1.166191801797941,-0.05071090457740385,0.11618014966040019,3154
2006-Q3,0.9162514078564554,0.02600222756934979,0.11741425228716061,3098
2006-Q4,1.193385175474669,0.03516351275507931,0.12881101909677256,2796
2007-Q1,0.19312945128247955,0.007235821366086802,0.1387182905968585,2896
2007-Q2,0.15189065745957234,0.0046913692008897934,0.1126693665072564,3147
2007-Q3,-0.36126086900566834,-0.014693960800262196,0.1326909317253151,3099
2007-Q4,-0.969919575412896,-0.053712376278055564,0.14558764609866048,2812
2008-Q1,-0.3348465588176898,-0.016351090064329884,0.1578099722221034,2756
2008-Q2,0.16527562826248907,0.0071609979191788265,0.16034999874853229,2952
2008-Q3,-0.11953967178730672,-0.006497685324252189,0.18583722868156727,2905
2008-Q4,-0.8369538867701877,-0.10270390659356034,0.2506773683935514,2629
2009-Q1,0.15663834561159495,0.012541646603695604,0.3058298772351958,2602
2009-Q2,1.5228133593792623,0.09202009115354914,0.37588675417202144,2631
2009-Q3,1.4426286566708795,0.05915240272030358,0.207562747005457,2676
2009-Q4,0.17273302414410285,0.00968765226337504,0.21065831947145988,2368
2010-Q1,2.1212490024410218,0.06169362721258937,0.14955882766544473,2455
2010-Q2,-1.3839972290028195,-0.07173229169117608,0.12387154427435819,2519
2010-Q3,-0.6369341492556242,-0.025982988066022693,0.12486552509031754,2562
2010-Q4,0.7698578077500352,0.023852704503742304,0.12655371922882658,2334
2011-Q1,0.3285376539837697,0.011980038033398178,0.13882266947839528,2389
2011-Q2,-0.7933371202283797,-0.03077405534585579,0.11560137090053554,2377
2011-Q3,-1.2405244525465438,-0.07526163310392725,0.1423639964031513,2427
2011-Q4,-0.565318671324444,-0.025827836574652607,0.13996519994922374,2187
2016-Q1,2.1488773982376292,0.06621479968506233,0.16296694779455684,2249
2016-Q2,0.5181810393452532,0.01921668811997208,0.14735400722553887,2367
2016-Q3,0.4187182634288848,0.015058522443297764,0.13942207515728255,2354
2016-Q4,2.3093482523772026,0.07235655560811714,0.17218036210531093,2184
2017-Q1,0.06699951790791764,0.002407653743402893,0.1293544880813468,2211
2017-Q2,-0.052720044560860733,-0.001986335099240938,0.1322101918491975,2282
2017-Q3,0.08360839864150714,0.0036190941423656963,0.1569178004796052,2308
2017-Q4,0.3985393449150707,0.01657802600006587,0.16271760287937984,2164
2018-Q1,-0.0020995437889693973,-0.00008699639222386663,0.14700850276296715,2149
2018-Q2,1.1402606952024021,0.039165190312562624,0.15383570033429186,2250
2018-Q3,0.43424159683768615,0.016522614278318103,0.14879140871911362,2295
2018-Q4,-0.5390449652578783,-0.026668395146580707,0.15085292688129825,1845
2019-Q1,0.5169852242494297,0.019699687463304073,0.15184189664649225,2155
2019-Q2,-0.8629420956293626,-0.044897610561455914,0.14345764145083015,2234
2019-Q3,-0.3587919135854541,-0.01745419035014544,0.15623321896137746,2211
2019-Q4,0.7296582630601601,0.03548463626664918,0.21301236603163592,2078
2020-Q1,-0.8770217554365216,-0.15306115466458242,0.28161721208892243,2076
2020-Q2,3.459665596787009,0.12073873930022033,0.26097236306760185,2102
2020-Q3,0.1534326139148078,0.008431240045258614,0.2048843319577738,2234
2020-Q4,4.374101016338097,0.1619161066131827,0.36229936928598216,2059
2021-Q1,-0.1182222270200634,-0.005701852764781074,0.16565018657955738,2228
2021-Q2,1.406976693540405,0.04900527260618171,0.16564033999187136,2351
2021-Q3,0.4006315250221185,0.015248230234988268,0.1477175742954644,2488
2021-Q4,-1.1017758422584678,-0.07894287911994478,0.16496846607962987,2353
2022-Q1,-0.10860887659477186,-0.005777025773516067,0.18261064397982685,2419
2022-Q2,-0.05336944117523238,-0.0034952351519743803,0.22781610164494231,2389
2022-Q3,-0.5171899760628911,-0.03192535424092171,0.18278617706723818,2441
2022-Q4,0.42961300396508995,0.02160672786202834,0.2026965194134126,2302
2023-Q1,-0.5814813431550719,-0.04197696350003706,0.20224515082035116,2237
2023-Q2,0.46638283183637325,0.023431010190928588,0.20469333626900785,2325
2023-Q3,-0.9257493572245908,-0.05599776250475321,0.15708861556522366,2387
2023-Q4,2.1612379175078607,0.08184733581394213,0.22088928360581864,2241
2024-Q1,-0.006763939010302044,-0.0004280207224989069,0.22406423124708488,2107
2024-Q2,0.015488084677559629,0.0009798765050916282,0.22585444972012741,2308
2024-Q3,0.29870704552024335,0.014302957360694465,0.18480506702760932,2112
