days_to_approval,event_count,sharpe_q5,sharpe_q10,sharpe_q25,sharpe_q50,sharpe_q75,sharpe_q90,sharpe_q95
-60,1,,,,,,,
-59,24,-68.62127083958902,-35.64396285325014,-14.814068221365758,6.006806124502514,10.905733806871458,49.05455356304355,65.79449659570624
-58,315,-25.217151141945372,-18.120310914226593,-7.12624269238948,1.5499908269637654,9.39206379221411,18.40796161479137,30.991725109727952
-57,494,-20.85641646850083,-16.121646055112297,-7.232764924304948,1.473161157313236,7.474964229094033,15.079564022611613,20.589493989562616
-56,841,-21.010147092524242,-15.100986865279395,-6.344253310872977,0.28395008258348875,6.993793472622612,12.817937826458193,19.710040694565635
-55,900,-17.197273581373654,-13.185276873008222,-5.645309994814894,0.6557747275795751,6.2996997481526416,11.507305464663563,17.287672058078126
-54,901,-15.86030941641253,-10.48382150186738,-5.1895275113605,0.6273347268960929,5.894035108842297,10.978952628232776,14.144322750267657
-53,901,-13.590568199466404,-9.665160816326793,-4.543364754152431,0.8121843847806332,5.399987644434248,10.301731643687992,13.44471762919564
-52,901,-11.611561141965865,-8.889214113329025,-4.334375080951942,0.3982328502770598,5.148910871715541,9.245141153814199,12.32363685144107
-51,901,-11.482233367550675,-8.108032100708673,-3.9243560936925896,0.39422095098269616,4.867990199103297,9.244379361695236,12.257450324772856
-50,901,-10.283169460129685,-7.424878087630191,-3.462283593098225,0.7073278653874057,4.6240029621434235,8.581642102048894,10.70248645790977
-49,902,-10.172835422076336,-7.259114089618892,-3.5318785214354014,0.7195982268200501,4.874459472984154,8.701138952364234,11.002121355015543
-48,902,-9.552319215060013,-7.129718949061208,-3.322346631522259,0.6536936794852468,4.950275468746265,8.686237075054587,11.174299972631044
-47,902,-9.733177239732147,-7.701884073091529,-3.471202425352111,0.8423747003192534,5.04900163796496,8.327294054709663,10.939857523555387
-46,902,-10.591338675931373,-8.213787520273286,-3.733638141621582,0.7274474005775361,5.156280572467135,8.440139314478369,10.53415239334447
-45,901,-10.420367863268279,-7.684625722914246,-3.6962779217406463,0.7297794649287405,5.042943767696458,8.626298213424272,10.773625967569116
-44,900,-10.777299547068202,-7.814151915814651,-3.6000818132346444,0.6053410996911328,5.210291857412344,8.743872880482611,10.99687251301383
-43,900,-11.02494906083866,-7.861944352817291,-3.2221012399552365,0.7791004056776782,4.800692906020564,8.470620686852396,11.293068918350567
-42,900,-10.428477109147689,-7.939762385849431,-3.4657620992206266,0.7247287854095216,4.848879135084395,8.470092826300043,10.342556589306595
-41,900,-9.640405645461739,-7.762089127968769,-3.25853688892242,0.6865652706611566,4.941702612627295,8.464247986163922,10.747058643597672
-40,899,-10.277702926115097,-7.667661861111971,-3.403502981875767,0.7028971234454667,4.79879455339841,8.600351102302776,11.05788582240438
-39,898,-11.08928894763324,-8.118027480050618,-3.81627799110358,0.7582077263132045,4.644955950475811,8.490637889830886,10.284123545661249
-38,897,-10.662888795891055,-7.8405386578566505,-3.3028039901512045,0.8821539256932323,5.007292746300405,8.467754502387036,10.79870243379901
-37,898,-10.941147597264775,-7.828408570043575,-3.627736671099537,0.6351955760882609,5.076104757424179,8.401652532138323,10.660682066475207
-36,898,-10.62552615614422,-7.985688575463176,-3.6639987729677994,0.8145630820369826,4.851632015626043,8.76309216153715,10.52740202692389
-35,898,-10.26963456974164,-6.950900212263709,-3.353881665241071,0.7890735221526076,4.867270829857206,8.714165887101897,10.305596573201703
-34,898,-9.977222758364727,-6.992899636226708,-3.4435742131309883,0.8633148854227197,4.803590535545649,8.656388748887585,10.81223066949857
-33,898,-10.16963461243623,-7.304228751898225,-3.4937261930038703,0.5874404280972347,4.9618336442220565,9.284387101096248,11.613020698974488
-32,899,-9.606515058588938,-7.7589770803292915,-3.5828690395732474,0.8600293570984925,5.1026960614128924,8.619645949058452,11.93197205551514
-31,899,-9.617639035112427,-7.394573288113998,-3.556985427320542,0.5727321735306772,4.864415828077535,8.785575759704848,11.24699069863951
-30,899,-9.685868678343594,-7.0035984879778015,-3.5120765024068805,0.6594436512558493,4.922428945968696,8.24423270838087,11.175470096274426
-29,899,-9.32187327169912,-7.4597125328615785,-3.3214719009569302,0.7260594183322823,4.834658082393459,8.281500195317752,11.305805224926372
-28,899,-9.245765760346615,-6.9666865440501375,-3.301775174103965,0.662335962048216,4.479126389991544,8.20349146189077,11.007888349052454
-27,899,-9.602934827434431,-6.977065469440156,-3.46422312704701,0.4220156823864784,4.305780430996666,7.998323408869907,10.342657945644198
-26,899,-9.7553506361195,-7.374105964692668,-3.6276554816040045,0.499681356647311,4.60116612418057,7.996742382631065,11.816820445336667
-25,898,-10.148676049292591,-7.895570812006502,-4.065379391029749,0.2501920168215652,4.770845778101589,8.54734980674582,12.147789548049046
-24,898,-10.720031106297657,-8.384146024720213,-4.232791043944999,0.13904125358220917,4.162266284065438,8.694620508627855,11.997112645193894
-23,896,-10.809205521326502,-8.19947824055831,-4.0580613032182065,0.022569023194402134,4.232767002091495,8.71195523020377,11.789747492418945
-22,898,-11.168788610840046,-8.207037605096579,-3.856922087698878,0.5030836990784442,4.421778056651956,8.854812531222528,12.006205354162356
-21,899,-10.742511515401176,-7.6471400979480775,-3.871054290973827,0.20556971147734,4.500855364614424,9.023992406815982,11.873666458947266
-20,899,-10.324829193493084,-7.798789399480708,-3.6348442416471585,0.29224306812937856,4.587262632136558,8.621784597718257,11.619221496378737
-19,899,-10.292607833906985,-8.381289699303979,-3.9761244173764183,0.35606773613252085,4.4260340795722275,8.42416288612774,11.411954528806671
-18,897,-10.341067135351455,-8.482244000315683,-4.129565950602886,0.43958152878845863,4.7987003930909875,8.71110279152211,11.118797345608915
-17,897,-11.136785122170574,-8.666302407831777,-3.816017592307423,0.7262623744938018,5.159486132719801,8.826695766939988,11.285300939625616
-16,898,-11.806640124660891,-8.254252208857018,-3.885385025090341,0.9152683382527109,5.124257296190985,8.880214890724003,11.038777635856562
-15,898,-10.884514922645911,-8.104806455541095,-3.619605644790215,0.8987636715742449,4.839043225997264,9.119968091696423,11.767705924738259
-14,898,-10.752874851369482,-7.699390193566862,-3.424045497710643,0.8116838425047763,4.761626980199949,8.662138604166449,10.998483433927882
-13,898,-10.651147995390025,-7.944876095864098,-3.5132110122297115,0.6811084559162167,4.755892490650018,8.138038716525317,9.821054071168776
-12,898,-10.722247115897868,-7.857134058882342,-3.5185718938043244,0.9592161643046799,4.91726456743233,8.10689327043387,10.053909226948962
-11,898,-10.370678660597894,-7.579359588551348,-3.857560344772088,0.9109864193743292,5.074048194549629,8.505866808107957,10.402625812171399
-10,897,-10.198420244021836,-7.986679454214043,-4.267646573916469,0.3799640534830817,4.777347393846217,8.808339081568215,11.481359760312692
-9,896,-10.454535923742423,-7.807203059789183,-3.989980417318374,0.5514370027975359,4.6964199219698015,8.496623668320801,11.241362626900127
-8,896,-9.622891226883569,-7.48473354029055,-3.656550263713222,0.6493745534047533,4.674215896808223,8.09317003269412,10.970880102107397
-7,896,-9.817068696291912,-7.259670889007459,-3.521808117238388,0.5860990754229193,4.591050050985758,7.804939584867066,10.543418635261814
-6,896,-9.805429688815593,-7.756533030101291,-3.4000074101331976,0.4162342782028359,4.5286888093462565,8.048008251339182,10.121839412046468
-5,896,-10.332869751791833,-7.609860326015807,-3.6269309541534565,0.15758654588043497,4.4073688732009515,8.56291814317748,11.103050422470426
-4,897,-10.499974234818044,-8.35383955664489,-3.697279441449637,0.3933217256922079,4.455189557419703,8.458937223864927,11.07642393855434
-3,897,-10.673911641092571,-7.793503601384583,-3.70216246215666,0.702158837255407,4.509832893626096,8.600095292092877,11.124877563200075
-2,897,-10.33609742275303,-7.549333827887167,-3.3658114318840253,0.8889001950229412,4.839567578506036,8.42975106022662,11.016988880352201
-1,897,-10.136922030859358,-7.373459901827,-3.1921039900846466,0.7193914688599463,4.819965548519624,8.628707089228898,10.470672975366025
0,897,-9.44479782137255,-7.7264845224611145,-3.530328969192697,1.0403458179425704,4.911495083853115,8.319697053761221,10.612172759242796
1,897,-9.217160921413571,-7.146263230001223,-3.167626862588519,1.0634826656617713,5.200158113147735,8.842651758983802,11.049455849642703
2,897,-9.882059807266703,-7.098976578538922,-3.2983852986489888,1.2086017041513768,5.013617764523935,8.570525622120966,11.422691531002215
3,895,-9.828657387565405,-7.638580921589717,-3.2938455974636818,0.7804446107895326,4.8831528453870865,8.595699624106006,11.256457117560638
4,894,-10.259675610868111,-7.25499363085483,-2.9861486238188832,0.6916069487103382,5.167859865553553,8.776599858881832,11.336150633792709
5,894,-9.791675008363827,-7.525432212926761,-3.557295816634799,0.7890544415552139,5.001854153008491,9.458776349678867,12.046885611331646
6,895,-10.214484675658337,-7.67931498460667,-3.523346532935736,1.2506579618757163,4.869249064108464,8.950814500488791,12.149407841711433
7,895,-10.897650143609148,-7.944081565825484,-3.45313898331671,1.1889579559799188,4.7450906053869115,8.5497439104325,11.356711718804833
8,895,-9.90539755207134,-7.626556356784057,-3.513569762322372,1.1049530729646402,5.092977761615296,8.472505756709444,11.173404639710656
9,896,-9.839274719759395,-7.763723001973668,-3.5398377452049523,1.0271544320306867,5.013669168171041,8.8435595396333,11.45009105823066
10,895,-10.43619910265393,-7.881583389693276,-3.485506727064356,0.9792305682332425,5.408207805485253,9.168430202607995,11.681935357306953
11,894,-10.660894394583265,-7.9507582882380925,-3.855446483249517,0.7173281004400368,5.078010926484929,9.041385302205086,11.709926878026565
12,894,-10.430250945927193,-8.066818344626316,-3.7402636866328205,0.40569213997714904,4.583240832748813,8.8789935550469,11.786031102780887
13,894,-10.175277228066227,-7.903141952545247,-3.6401693950136953,0.2598145424045012,4.325267384717349,8.471902924031658,11.329830360340994
14,895,-10.52688753059252,-7.780037333718915,-3.7397430609001523,0.42385850950804016,4.333383392471459,8.052073597838842,10.896145729941964
15,896,-10.489519583190145,-7.302059724898836,-3.8211299514187154,0.42616160412809234,4.290106906498015,8.279615738598093,11.434564723493853
16,896,-10.847057683682603,-7.70666228550403,-3.655063277111326,0.36396058540189213,4.656541366983188,8.752006076077148,11.416408061292094
17,894,-10.04757779568818,-7.893774335020122,-3.4352856349967826,0.6095034978244542,4.639824944506328,8.941442463386206,11.24341779096191
18,893,-10.477305417674378,-8.027661355391846,-4.053162032924505,0.8120414338660844,5.054371546140774,9.184845317450394,11.34718440544865
19,893,-10.68633379695032,-8.244138099416446,-3.82917950267736,0.6966623539977418,5.113286308592662,8.576126306513919,11.204455758546674
20,894,-9.9422647808634,-7.452645890139506,-3.7044185456554155,0.8044894511111605,4.818449058205259,8.756799660390854,11.149054438553792
21,895,-9.967528985394544,-7.711389046256645,-3.9569759291395687,0.44449093235132237,4.5950581835700515,8.704110346125292,10.71313997487824
22,896,-10.315338817510758,-7.9231692576454416,-3.5142131610247436,0.34340700273209834,4.9019509646158195,8.732131735782525,11.226409312236319
23,895,-10.367075614052881,-8.11133624709205,-3.8509757893040444,0.41998018860965536,5.151312376970987,8.948669421684007,11.207097972274303
24,896,-10.60232424941858,-8.137250814271084,-3.9335066672060623,0.4224407311602002,5.046778414416801,8.6242963667517,10.493201863625302
25,896,-11.170597610711521,-8.327959211603766,-4.094628282595869,0.47571516950721915,5.095023924121978,8.477269651296185,11.006598171882812
26,896,-10.93099241030546,-8.093682174322936,-4.461618719973541,0.5504864844309264,4.8242056466129135,8.739462259351438,11.214521227787028
27,896,-10.54860029430246,-7.673205664481788,-4.131705069504476,0.6458743217981942,4.9741223993375225,8.821299890786324,11.961241946038598
28,896,-9.719280252701937,-7.414322396518557,-4.010664776816525,0.43248864564143447,4.8355538886291995,8.7512804681836,12.003139398077872
29,894,-10.002739261194515,-7.27520781008642,-3.682019216016576,0.5193601837716656,4.814000410383871,8.256755584576977,11.124270579446854
30,895,-10.059539797953214,-7.68287849240487,-3.6837733474076586,0.7113047724814364,4.53190153738369,8.204967343564096,10.679279317140704
31,895,-10.719086314530761,-8.442443081996892,-4.0546664392312275,0.4677738198839412,4.508475384922713,8.37505567472796,11.446793383303806
32,895,-11.39846797544757,-8.420763408922321,-3.7678480979800013,0.3824479308276003,4.2546238025236764,8.73797500194936,11.729702228483577
33,895,-11.239558052764473,-8.123000145671966,-3.7962606998578114,0.34274775567147425,4.429934792765261,8.39691425253428,11.078655085296122
34,895,-11.134467537730822,-8.170835860916343,-3.5338555869001227,0.502581345808406,4.374905760574083,9.073955192693733,11.125421372604784
35,894,-11.754696233491845,-8.228466942152581,-3.8061112117356406,0.5774083568937247,4.519771921833357,8.37820006165282,11.29608764678797
36,894,-11.386096350161402,-8.253724458401319,-4.003088271489147,0.5683171613860323,4.546886276782082,8.404653347118227,11.00620862754886
37,894,-11.204182265729127,-8.142548909332223,-3.826712763735163,0.3582282868620528,4.780345806488413,8.597399202340718,11.32212218409003
38,894,-11.165097637675975,-8.216321053260764,-4.0329544223582126,0.5253847013573905,5.011875419259291,8.634991834650425,10.657936611433277
39,894,-11.824489655468089,-8.828147960751538,-4.027616782217411,0.35178778250146325,4.602203881998965,8.635957995909516,11.028902846789533
40,894,-11.786642751956656,-8.68222171880488,-3.828555173847914,0.5132483991889705,4.497507453941231,8.587431849747857,10.981692469529436
41,894,-12.199206528895,-8.471518935954435,-4.2279185229834075,0.2743350255464667,4.301503479099991,8.033251941157074,10.125826035509075
42,894,-10.780121206252835,-8.354108878198131,-4.186593622801033,0.17896533654411023,4.312389751556644,7.969822716800899,10.231327268835578
43,895,-10.699708728637605,-7.757103319660854,-3.9521491620613958,0.4747581603906403,4.167009008032958,8.205039285295161,10.58525665731315
44,896,-11.388689320385248,-8.196360018811461,-4.247373333475313,0.36355859863242584,4.848065776447692,8.607119159122721,10.514833098575979
45,895,-11.19731677173973,-8.77988973640328,-4.555313987728309,0.11868195505076207,4.544065858537323,8.640582763238113,11.09772363740823
46,895,-12.284287005520826,-9.073421622965764,-4.504870031171482,-0.195317411889342,4.331963913530765,8.289503602291793,11.543807256085634
47,895,-11.721055857582865,-8.42471095082587,-4.4374930782714,-0.04481007607219186,4.398368725298683,8.435852984813724,11.634104882101255
48,896,-11.11229449889833,-8.41800170345864,-4.23670630294116,0.27148403394332765,4.079651738011031,8.014780243777711,11.57136198462647
49,896,-11.447412175117249,-8.332695772171519,-4.133603709385766,0.2555425158030321,4.209106716817129,7.805438412874925,10.624522976359952
50,896,-11.588268787152705,-8.478589123744356,-4.1320523334558645,-0.009374780537430506,4.080443662035392,8.350095996334016,10.503409968713868
51,896,-11.447527208468655,-8.388682806951962,-4.062407741105776,0.10047799686438469,4.390599181247558,8.100866606019862,10.469655407981811
52,895,-10.5021525799874,-7.727439878435273,-3.9394846548820923,0.23647160630097339,4.535896282849254,8.540658147158364,10.846794273117087
53,894,-10.561907113770912,-8.22828451709124,-3.6565883495084086,0.5318894630304987,4.7848816853542315,9.0602371111898,11.548907532427357
54,893,-10.708883384500556,-7.719253784888549,-3.6379771527157594,0.7622561977720986,4.675393567342079,8.652005848566025,11.188619969157005
55,893,-9.958832766586019,-7.29224080614024,-3.348449399892453,0.604085452839469,4.763002164818661,8.180116951821107,10.56244397686656
56,893,-9.946081135631868,-7.409229664434192,-3.199437143724903,0.9714793636298554,4.893095382350838,8.494410923417458,11.134183432789689
57,894,-10.306073658908174,-7.2270238046164055,-3.199507727254082,0.7432046813855646,4.749883062580475,8.419231614689568,11.40178080662039
58,894,-9.872353562067108,-7.147861833721185,-3.5078901470151806,0.7156427821427557,4.829476953951254,8.505475979898828,11.189926026480759
59,894,-10.006307188246932,-7.820076215096782,-3.8898646399764,0.8008805526230482,5.190919155475002,8.831877409381816,11.78490822037557
60,894,-10.966476831891095,-8.58174488803611,-3.545272133574668,0.7691694327656847,4.925944278022251,9.362896034436991,12.074586732871904
